COD_S11,GENDER,STRATUM,SISBEN,INTERNET,TV,COMPUTER,WASHING_MCH,MIC_OVEN,CAR,DVD,FRESH,PHONE,MOBILE,REVENUE,SCHOOL_NAT,SEL,SEL_IHE
SB11201220403780,F,Stratum 2,It is not classified by the SISBEN,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Between 1 and less than 2 LMMW,PRIVATE,2,2
SB11201220404006,F,Stratum 2,Level 2,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Between 1 and less than 2 LMMW,PUBLIC,2,2
SB11201220404460,M,Stratum 3,Level 3,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Between 3 and less than 5 LMMW,PUBLIC,1,2
SB11201220404490,F,Stratum 2,Level 2,No,No,No,No,No,No,No,Yes,Yes,No,Between 1 and less than 2 LMMW,PUBLIC,4,2
SB11201220404820,F,Stratum 1,Level 1,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Between 2 and less than 3 LMMW,PUBLIC,2,2
SB11201220404935,M,Stratum 2,Level 2,No,No,Yes,No,No,No,No,Yes,Yes,No,less than 1 LMMW,PUBLIC,2,2
SB11201220405007,M,Stratum 2,Level 2,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Between 2 and less than 3 LMMW,PUBLIC,2,2
SB11201220405080,F,Stratum 2,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Between 2 and less than 3 LMMW,PUBLIC,2,2
SB11201220405210,F,Stratum 2,Level 2,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,PUBLIC,2,2
SB11201220405282,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PRIVATE,4,2
SB11201220405356,M,Stratum 2,Level 2,No,No,Yes,Yes,No,No,No,Yes,Yes,No,less than 1 LMMW,PUBLIC,2,2
SB11201220405393,F,Stratum 2,It is not classified by the SISBEN,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PUBLIC,1,2
SB11201220405414,M,Stratum 1,Level 1,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,PUBLIC,1,4
SB11201220405481,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Between 2 and less than 3 LMMW,PRIVATE,4,2
SB11201220405488,F,Stratum 2,It is not classified by the SISBEN,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,less than 1 LMMW,PRIVATE,1,2
SB11201220405560,F,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PUBLIC,2,2
SB11201220405849,M,Stratum 2,Level 1,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Between 1 and less than 2 LMMW,PUBLIC,2,2
SB11201220405901,F,Stratum 2,Level 2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,PUBLIC,2,2
SB11201220405909,F,Stratum 2,Level 2,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,PUBLIC,1,2
SB11201220405983,M,Stratum 2,It is not classified by the SISBEN,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PUBLIC,1,2
SB11201220405985,F,Stratum 2,Level 2,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PUBLIC,2,2
SB11201220406000,F,Stratum 2,It is not classified by the SISBEN,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Between 3 and less than 5 LMMW,PUBLIC,3,2
SB11201220406048,M,Stratum 2,It is not classified by the SISBEN,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Between 1 and less than 2 LMMW,PUBLIC,3,2
SB11201220406138,M,Stratum 2,It is not classified by the SISBEN,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PRIVATE,4,2
SB11201220406325,M,Stratum 3,Level 3,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Between 1 and less than 2 LMMW,PUBLIC,2,2
SB11201220406594,M,Stratum 2,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,less than 1 LMMW,PUBLIC,1,1
SB11201220406597,M,Stratum 2,It is not classified by the SISBEN,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Unknown,PUBLIC,2,2
SB11201220406622,F,Stratum 2,It is not classified by the SISBEN,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PUBLIC,2,2
SB11201220406627,M,Stratum 2,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PUBLIC,2,2
SB11201220406656,M,Stratum 2,It is not classified by the SISBEN,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PUBLIC,2,2
SB11201220406669,M,Stratum 1,Level 1,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,PUBLIC,2,2
SB11201220406679,M,Stratum 2,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PUBLIC,1,2
SB11201220406713,F,Stratum 2,Level 2,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,PUBLIC,1,2
SB11201220406771,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,PRIVATE,4,2
SB11201220406774,M,Stratum 4,It is not classified by the SISBEN,No,No,No,No,No,No,No,No,No,No,Between 5 and less than 7 LMMW,PRIVATE,4,4
SB11201220406839,M,Stratum 2,It is not classified by the SISBEN,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Between 3 and less than 5 LMMW,PRIVATE,3,2
SB11201220406902,M,Stratum 3,Level 3,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PUBLIC,2,2
SB11201220406905,F,Stratum 2,Level 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,PUBLIC,2,2
SB11201220406912,M,Stratum 1,Level 1,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,PUBLIC,4,2
SB11201220407206,F,Stratum 2,It is not classified by the SISBEN,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Between 1 and less than 2 LMMW,PRIVATE,3,2
SB11201220407355,M,Stratum 2,It is not classified by the SISBEN,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,PRIVATE,2,2
SB11201220407434,M,Stratum 2,Level 2,No,No,No,No,No,No,No,Yes,Yes,No,Between 1 and less than 2 LMMW,PUBLIC,1,2
SB11201220407697,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,PRIVATE,2,2
SB11201220407716,F,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,4,3
SB11201220407725,F,Stratum 2,It is not classified by the SISBEN,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Between 2 and less than 3 LMMW,PRIVATE,2,2
SB11201220407731,F,Stratum 2,It is not classified by the SISBEN,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Between 1 and less than 2 LMMW,PRIVATE,2,4
SB11201220408128,M,Stratum 2,Level 2,No,No,No,No,No,No,Yes,Yes,Yes,No,less than 1 LMMW,PUBLIC,1,2
SB11201220408285,M,Stratum 2,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PUBLIC,2,2
SB11201220408391,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Between 1 and less than 2 LMMW,PUBLIC,2,2
SB11201220408530,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PRIVATE,4,2
SB11201220408568,M,Stratum 6,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,4,2
SB11201220408569,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,4,3
SB11201220408817,M,Stratum 2,Level 2,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Between 5 and less than 7 LMMW,PUBLIC,1,2
SB11201220408837,M,Stratum 2,It is not classified by the SISBEN,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Between 2 and less than 3 LMMW,PUBLIC,3,2
SB11201220408849,M,Stratum 1,Level 1,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PUBLIC,1,2
SB11201220408936,F,Stratum 3,It is not classified by the SISBEN,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PUBLIC,2,2
SB11201220408972,F,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,PUBLIC,4,2
SB11201220409156,F,Stratum 5,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,4,2
SB11201220409175,F,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,PRIVATE,4,3
SB11201220409322,F,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,PRIVATE,4,2
SB11201220409430,F,Stratum 2,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,less than 1 LMMW,PUBLIC,1,2
SB11201220409500,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,4,2
SB11201220409511,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,2,2
SB11201220409753,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PRIVATE,2,2
SB11201220409756,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PRIVATE,1,2
SB11201220409780,M,Stratum 2,It is not classified by the SISBEN,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PRIVATE,2,2
SB11201220409818,M,Stratum 6,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PRIVATE,4,2
SB11201220410023,M,Stratum 2,Level 2,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PUBLIC,2,2
SB11201220410076,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,PRIVATE,4,2
SB11201220410102,F,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,2,2
SB11201220410107,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PRIVATE,4,2
SB11201220410115,F,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,4,2
SB11201220410123,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,3,2
SB11201220410151,M,Stratum 2,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PRIVATE,4,2
SB11201220410162,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PRIVATE,3,2
SB11201220410183,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Between 3 and less than 5 LMMW,PRIVATE,4,2
SB11201220410692,M,Stratum 2,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PUBLIC,4,2
SB11201220410699,F,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,PUBLIC,1,2
SB11201220411156,F,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PRIVATE,4,3
SB11201220411691,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PUBLIC,2,2
SB11201220412177,F,Stratum 3,Level 3,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PUBLIC,1,2
SB11201220412216,M,Stratum 3,It is not classified by the SISBEN,No,No,No,No,No,No,No,Yes,Yes,Yes,less than 1 LMMW,PUBLIC,3,2
SB11201220412272,M,Stratum 3,It is not classified by the SISBEN,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,2,2
SB11201220412724,F,Stratum 2,Level 2,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Between 3 and less than 5 LMMW,PUBLIC,2,2
SB11201220412740,M,Stratum 1,Level 1,No,No,No,Yes,No,No,Yes,Yes,Yes,No,less than 1 LMMW,PUBLIC,1,2
SB11201220413011,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,4,2
SB11201220413220,F,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PRIVATE,1,2
SB11201220413302,F,Stratum 2,Level 2,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,PUBLIC,1,2
SB11201220414416,M,Stratum 3,Level 3,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PUBLIC,2,2
SB11201220415316,M,Stratum 2,Level 3,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PUBLIC,4,2
SB11201220415440,F,Stratum 3,Level 2,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,less than 1 LMMW,PUBLIC,1,2
SB11201220415461,M,Stratum 2,Level 2,No,No,No,No,No,No,Yes,Yes,Yes,No,less than 1 LMMW,PUBLIC,3,2
SB11201220416099,F,Stratum 2,Level 2,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,less than 1 LMMW,PUBLIC,1,2
SB11201220416524,M,Stratum 2,Level 2,No,Yes,No,No,No,No,Yes,Yes,Yes,No,less than 1 LMMW,PUBLIC,1,2
SB11201220416548,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PRIVATE,1,2
SB11201220416881,F,Stratum 2,Level 2,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Between 2 and less than 3 LMMW,PRIVATE,2,2
SB11201220416889,F,Stratum 3,It is not classified by the SISBEN,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PRIVATE,4,2
SB11201220416923,F,Stratum 1,Level 1,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PUBLIC,2,2
SB11201220416931,F,Stratum 3,Level 3,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PUBLIC,4,2
SB11201220418162,M,Stratum 2,It is classified in another Level of the SISBEN,No,No,No,Yes,No,No,No,Yes,Yes,Yes,less than 1 LMMW,PUBLIC,2,2
SB11201220418170,F,Stratum 2,Level 2,No,No,No,No,No,No,Yes,Yes,Yes,No,less than 1 LMMW,PUBLIC,1,2
SB11201220418392,M,Stratum 3,Level 1,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Between 2 and less than 3 LMMW,PUBLIC,2,2
SB11201220419191,F,Stratum 2,It is not classified by the SISBEN,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,PUBLIC,2,2
SB11201220419675,M,Stratum 3,Level 2,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Between 2 and less than 3 LMMW,PUBLIC,1,2
SB11201220419936,M,Stratum 3,Level 2,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PUBLIC,2,2
SB11201220420190,M,Stratum 3,Level 2,No,No,Yes,No,No,No,No,Yes,Yes,No,Between 1 and less than 2 LMMW,PUBLIC,1,2
SB11201220420677,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Unknown,PRIVATE,4,4
SB11201220420927,M,Stratum 2,Level 2,No,No,No,No,No,No,No,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PUBLIC,3,2
SB11201220421033,F,Stratum 2,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,PUBLIC,4,2
SB11201220421048,F,Stratum 1,It is not classified by the SISBEN,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PUBLIC,3,2
SB11201220421387,M,Stratum 2,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Between 5 and less than 7 LMMW,PUBLIC,3,2
SB11201220422784,M,Stratum 1,Level 1,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,PUBLIC,2,2
SB11201220422937,M,Stratum 2,Level 2,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Between 1 and less than 2 LMMW,PUBLIC,1,2
SB11201220422943,M,Stratum 2,Level 2,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,PUBLIC,2,2
SB11201220422963,M,Stratum 2,It is not classified by the SISBEN,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Between 2 and less than 3 LMMW,PUBLIC,2,2
SB11201220422999,M,Stratum 1,Level 1,No,No,No,No,No,No,No,Yes,Yes,No,less than 1 LMMW,PUBLIC,2,2
SB11201220424505,F,Stratum 3,It is not classified by the SISBEN,No,No,No,No,No,No,No,Yes,Yes,Yes,less than 1 LMMW,PUBLIC,2,2
SB11201220424745,M,Stratum 2,It is not classified by the SISBEN,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PUBLIC,2,2
SB11201220425101,F,Stratum 2,Level 1,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Between 2 and less than 3 LMMW,PUBLIC,1,1
SB11201220425111,F,Stratum 2,Level 2,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,less than 1 LMMW,PUBLIC,1,1
SB11201220425124,F,Stratum 3,It is not classified by the SISBEN,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PUBLIC,1,2
SB11201220425253,F,Stratum 1,Level 1,No,No,No,No,No,No,No,No,Yes,No,less than 1 LMMW,PUBLIC,1,1
SB11201220425325,F,Stratum 2,It is not classified by the SISBEN,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PRIVATE,3,2
SB11201220426636,F,Stratum 1,Level 2,No,No,No,No,No,No,No,Yes,Yes,No,less than 1 LMMW,PUBLIC,2,1
SB11201220429142,M,Stratum 1,Level 1,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Between 2 and less than 3 LMMW,PUBLIC,2,2
SB11201220429526,M,Stratum 3,It is not classified by the SISBEN,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Between 2 and less than 3 LMMW,PUBLIC,4,2
SB11201220429932,M,Stratum 3,It is not classified by the SISBEN,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Between 2 and less than 3 LMMW,PUBLIC,2,1
SB11201220430364,F,Stratum 1,Level 1,No,No,No,No,No,No,No,Yes,Yes,No,less than 1 LMMW,PUBLIC,2,1
SB11201220431015,F,Stratum 1,It is not classified by the SISBEN,No,No,Yes,No,No,No,No,Yes,Yes,No,Between 1 and less than 2 LMMW,PUBLIC,2,2
SB11201220431070,F,Stratum 2,Level 1,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,PUBLIC,2,1
SB11201220431264,M,Stratum 2,It is not classified by the SISBEN,No,No,No,No,No,No,No,Yes,Yes,No,less than 1 LMMW,PRIVATE,3,2
SB11201220431422,M,Stratum 1,Level 1,No,No,No,No,No,No,Yes,Yes,Yes,No,less than 1 LMMW,PUBLIC,2,1
SB11201220431438,F,Stratum 1,Level 1,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,PUBLIC,1,2
SB11201220431864,M,Stratum 1,Level 1,No,No,No,No,No,No,Yes,Yes,Yes,No,less than 1 LMMW,PUBLIC,2,1
SB11201220432095,M,Stratum 1,Level 1,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PUBLIC,1,1
SB11201220432181,M,Stratum 1,Level 1,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,PUBLIC,2,1
SB11201220432192,M,Stratum 2,Level 1,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PUBLIC,2,2
SB11201220432331,M,Stratum 1,Level 1,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PUBLIC,2,1
SB11201220432341,M,Stratum 2,It is not classified by the SISBEN,No,No,No,No,No,No,No,Yes,Yes,Yes,less than 1 LMMW,PUBLIC,1,1
SB11201220432511,F,Stratum 1,Level 1,No,No,Yes,No,No,No,Yes,Yes,Yes,No,less than 1 LMMW,PUBLIC,1,1
SB11201220432671,M,Stratum 1,It is not classified by the SISBEN,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Between 1 and less than 2 LMMW,PUBLIC,2,1
SB11201220432728,F,Stratum 3,It is not classified by the SISBEN,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PRIVATE,2,1
SB11201220433137,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,4,2
SB11201220433313,M,Stratum 1,Level 1,No,No,No,No,No,Yes,Yes,No,Yes,No,less than 1 LMMW,PUBLIC,1,1
SB11201220433352,F,Stratum 2,Level 1,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Between 2 and less than 3 LMMW,PRIVATE,2,3
SB11201220433354,M,Stratum 3,It is not classified by the SISBEN,No,No,No,No,No,No,No,Yes,Yes,No,Between 1 and less than 2 LMMW,PRIVATE,2,2
SB11201220433435,F,Stratum 2,It is not classified by the SISBEN,No,No,No,No,No,No,No,Yes,Yes,No,Between 3 and less than 5 LMMW,PUBLIC,3,1
SB11201220434280,F,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,4,4
SB11201220434678,F,Stratum 2,It is not classified by the SISBEN,No,No,No,No,No,No,No,No,No,No,Between 1 and less than 2 LMMW,PUBLIC,1,2
SB11201220434911,M,Stratum 3,Level 1,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,4,2
SB11201220434923,F,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PRIVATE,1,2
SB11201220435036,M,Stratum 2,Level 2,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Between 3 and less than 5 LMMW,PUBLIC,2,2
SB11201220435086,M,Stratum 1,Level 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PUBLIC,2,1
SB11201220435144,M,Stratum 1,Level 1,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PUBLIC,2,1
SB11201220435308,M,Stratum 1,Level 2,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,PUBLIC,1,2
SB11201220435684,F,Stratum 2,It is not classified by the SISBEN,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Between 2 and less than 3 LMMW,PUBLIC,2,2
SB11201220436275,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PRIVATE,2,2
SB11201220436580,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Unknown,PRIVATE,4,2
SB11201220436584,M,Stratum 4,It is not classified by the SISBEN,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PRIVATE,2,2
SB11201220436588,M,Stratum 3,It is not classified by the SISBEN,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Unknown,PRIVATE,4,3
SB11201220436924,F,Stratum 3,Level 2,No,No,No,No,No,No,No,Yes,No,Yes,Between 1 and less than 2 LMMW,PUBLIC,2,1
SB11201220437344,M,Stratum 2,It is not classified by the SISBEN,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,PUBLIC,4,2
SB11201220437362,F,Stratum 2,It is not classified by the SISBEN,No,No,No,Yes,No,No,No,Yes,No,Yes,Between 1 and less than 2 LMMW,PUBLIC,2,2
SB11201220437374,F,Stratum 2,Level 2,No,No,No,No,No,No,No,Yes,Yes,No,Between 1 and less than 2 LMMW,PUBLIC,1,2
